Beds Are Burning - Remastered;Midnight Oil;1997;63;0.754;0.496;0.0871;119.186;4
Brass in Pocket - 2006 Remaster;Pretenders;1980;66;0.751;0.703;0.196;97.931;4
Piece of My Heart;Big Brother & The Holding Company;1968;68;0.443;0.727;0.169;160.82;4
Tangled up in Blue;Bob Dylan;1975;65;0.421;0.661;0.0962;100.965;4
My Sweet Lord - Remastered 2014;George Harrison;1970;76;0.537;0.701;0.0832;120.919;4
The Joker;Steve Miller Band;1973;76;0.596;0.448;0.206;83.293;4
American Woman;The Guess Who;1970;64;0.55;0.726;0.428;92.697;4
Bullet With Butterfly Wings - Remastered 2012;The Smashing Pumpkins;1995;72;0.404;0.72;0.0466;121.864;4
Would?;Alice In Chains;1992;71;0.305;0.832;0.091;100.677;4
Heart-Shaped Box;Nirvana;1993;75;0.256;0.641;0.0853;203.006;4
Closer;Nine Inch Nails;1994;60;0.546;0.724;0.133;89.991;4
Sober;TOOL;1993;68;0.385;0.673;0.0699;149.272;4
Magic Carpet Ride;Steppenwolf;1968;70;0.64;0.651;0.0341;111.676;4
Rock You Like A Hurricane;Scorpions;1984;1;0.482;0.601;0.249;125.619;4
Last Nite;The Strokes;2001;64;0.624;0.899;0.0975;104.055;4
Fat Bottomed Girls - Remastered 2011;Queen;1978;65;0.337;0.684;0.342;88.772;4
The Middle;Jimmy Eat World;2001;78;0.643;0.849;0.058;162.152;4
Heroes - 2017 Remaster;David Bowie;1977;75;0.49;0.758;0.092;112.114;4
Dancing In the Dark;Bruce Springsteen;1984;77;0.527;0.942;0.188;148.723;4
Touch Me;The Doors;1969;64;0.425;0.903;0.117;108.748;4
Louie Louie;The Kingsmen;2006;66;0.623;0.709;0.0967;122.394;4
Life in the Fast Lane - 2013 Remaster;Eagles;1976;72;0.667;0.755;0.0523;109.535;4
Come Out And Play (Keep ?Em Separated);The Offspring;2005;69;0.476;0.856;0.0846;158.671;4
Moondance - 2013 Remaster;Van Morrison;1970;69;0.606;0.282;0.152;67.409;4
Float On;Modest Mouse;2004;70;0.649;0.888;0.0888;100.975;4
